movie1,movie2,weight
kalifornia (1993),true romance (1993),5
kalifornia (1993),twelve monkeys (a.k.a. 12 monkeys) (1995),9
kalifornia (1993),twister (1996),7
kalifornia (1993),"usual suspects, the (1995)",10
kalifornia (1993),what's eating gilbert grape (1993),7
last man standing (1996),"long kiss goodnight, the (1996)",2
last man standing (1996),monty python's life of brian (1979),2
last man standing (1996),mr. holland's opus (1995),3
last man standing (1996),"people vs. larry flynt, the (1996)",2
last man standing (1996),"perfect world, a (1993)",2
last man standing (1996),"princess bride, the (1987)",2
last man standing (1996),pulp fiction (1994),4
last man standing (1996),quiz show (1994),2
last man standing (1996),raiders of the lost ark (indiana jones and the raiders of the lost ark) (1981),3
last man standing (1996),reservoir dogs (1992),3
last man standing (1996),"rock, the (1996)",4
last man standing (1996),schindler's list (1993),4
last man standing (1996),searching for bobby fischer (1993),2
last man standing (1996),seven (a.k.a. se7en) (1995),3
last man standing (1996),"shawshank redemption, the (1994)",4
last man standing (1996),"silence of the lambs, the (1991)",2
last man standing (1996),singin' in the rain (1952),2
last man standing (1996),speed (1994),3
last man standing (1996),star wars: episode iv - a new hope (1977),5
last man standing (1996),star wars: episode v - the empire strikes back (1980),3
last man standing (1996),star wars: episode vi - return of the jedi (1983),2
last man standing (1996),"sting, the (1973)",2
last man standing (1996),terminator 2: judgment day (1991),3
last man standing (1996),that thing you do! (1996),2
last man standing (1996),tombstone (1993),3
last man standing (1996),trainspotting (1996),5
last man standing (1996),true romance (1993),2
last man standing (1996),twelve monkeys (a.k.a. 12 monkeys) (1995),4
last man standing (1996),twister (1996),3
last man standing (1996),"usual suspects, the (1995)",4
last man standing (1996),what's eating gilbert grape (1993),2
"long kiss goodnight, the (1996)",léon: the professional (a.k.a. the professional) (léon) (1994),10
"long kiss goodnight, the (1996)",miller's crossing (1990),2
"long kiss goodnight, the (1996)",monty python and the holy grail (1975),8
"long kiss goodnight, the (1996)",monty python's life of brian (1979),6
"long kiss goodnight, the (1996)",mr. holland's opus (1995),7
"long kiss goodnight, the (1996)",once upon a time in the west (c'era una volta il west) (1968),2
"long kiss goodnight, the (1996)","people vs. larry flynt, the (1996)",3
"long kiss goodnight, the (1996)","perfect world, a (1993)",3
"long kiss goodnight, the (1996)",philadelphia (1993),5
"long kiss goodnight, the (1996)","philadelphia story, the (1940)",2
"long kiss goodnight, the (1996)",quiz show (1994),4
"long kiss goodnight, the (1996)",reservoir dogs (1992),10
"long kiss goodnight, the (1996)",rudy (1993),3
"long kiss goodnight, the (1996)",schindler's list (1993),9
"long kiss goodnight, the (1996)",searching for bobby fischer (1993),4
"long kiss goodnight, the (1996)",seven (a.k.a. se7en) (1995),13
"long kiss goodnight, the (1996)",singin' in the rain (1952),3
"long kiss goodnight, the (1996)",some folks call it a sling blade (1993),2
"long kiss goodnight, the (1996)",speed (1994),14
"long kiss goodnight, the (1996)",star wars: episode iv - a new hope (1977),16
"long kiss goodnight, the (1996)",star wars: episode v - the empire strikes back (1980),12
"long kiss goodnight, the (1996)",star wars: episode vi - return of the jedi (1983),12
"long kiss goodnight, the (1996)","sting, the (1973)",2
"long kiss goodnight, the (1996)",terminator 2: judgment day (1991),17
"long kiss goodnight, the (1996)","terminator, the (1984)",6
"long kiss goodnight, the (1996)",that thing you do! (1996),4
"long kiss goodnight, the (1996)",tombstone (1993),2
"long kiss goodnight, the (1996)",top gun (1986),6
"long kiss goodnight, the (1996)",trainspotting (1996),7
"long kiss goodnight, the (1996)",true romance (1993),4
"long kiss goodnight, the (1996)",twister (1996),9
"long kiss goodnight, the (1996)",what's eating gilbert grape (1993),4
léon: the professional (a.k.a. the professional) (léon) (1994),mr. holland's opus (1995),19
léon: the professional (a.k.a. the professional) (léon) (1994),once were warriors (1994),4
léon: the professional (a.k.a. the professional) (léon) (1994),"people vs. larry flynt, the (1996)",5
léon: the professional (a.k.a. the professional) (léon) (1994),"perfect world, a (1993)",3
léon: the professional (a.k.a. the professional) (léon) (1994),"philadelphia story, the (1940)",2
léon: the professional (a.k.a. the professional) (léon) (1994),rudy (1993),6
léon: the professional (a.k.a. the professional) (léon) (1994),searching for bobby fischer (1993),13
léon: the professional (a.k.a. the professional) (léon) (1994),that thing you do! (1996),4
léon: the professional (a.k.a. the professional) (léon) (1994),tombstone (1993),13
léon: the professional (a.k.a. the professional) (léon) (1994),top gun (1986),13
léon: the professional (a.k.a. the professional) (léon) (1994),twister (1996),22
léon: the professional (a.k.a. the professional) (léon) (1994),"wild bunch, the (1969)",3
miller's crossing (1990),once upon a time in the west (c'era una volta il west) (1968),2
miller's crossing (1990),once were warriors (1994),2
miller's crossing (1990),"people vs. larry flynt, the (1996)",2
miller's crossing (1990),"perfect world, a (1993)",2
miller's crossing (1990),philadelphia (1993),3
miller's crossing (1990),"philadelphia story, the (1940)",2
miller's crossing (1990),"princess bride, the (1987)",5
miller's crossing (1990),raiders of the lost ark (indiana jones and the raiders of the lost ark) (1981),7
miller's crossing (1990),"rock, the (1996)",2
miller's crossing (1990),rudy (1993),2
miller's crossing (1990),schindler's list (1993),9
miller's crossing (1990),searching for bobby fischer (1993),2
miller's crossing (1990),seven (a.k.a. se7en) (1995),5
miller's crossing (1990),"shawshank redemption, the (1994)",9
miller's crossing (1990),"silence of the lambs, the (1991)",9
miller's crossing (1990),speed (1994),6
miller's crossing (1990),star wars: episode iv - a new hope (1977),6
miller's crossing (1990),star wars: episode v - the empire strikes back (1980),6
miller's crossing (1990),star wars: episode vi - return of the jedi (1983),7
miller's crossing (1990),"sting, the (1973)",3
miller's crossing (1990),terminator 2: judgment day (1991),6
miller's crossing (1990),"terminator, the (1984)",5
miller's crossing (1990),tombstone (1993),2
miller's crossing (1990),top gun (1986),2
miller's crossing (1990),true romance (1993),3
miller's crossing (1990),what's eating gilbert grape (1993),5
monty python and the holy grail (1975),mr. holland's opus (1995),15
monty python and the holy grail (1975),once were warriors (1994),3
monty python and the holy grail (1975),"people vs. larry flynt, the (1996)",9
monty python and the holy grail (1975),"perfect world, a (1993)",2
monty python and the holy grail (1975),rudy (1993),5
monty python and the holy grail (1975),searching for bobby fischer (1993),8
monty python and the holy grail (1975),top gun (1986),20
monty python's life of brian (1979),mr. holland's opus (1995),11
monty python's life of brian (1979),once were warriors (1994),4
monty python's life of brian (1979),"people vs. larry flynt, the (1996)",5
monty python's life of brian (1979),rudy (1993),4
monty python's life of brian (1979),searching for bobby fischer (1993),8
monty python's life of brian (1979),some folks call it a sling blade (1993),4
monty python's life of brian (1979),top gun (1986),15
mr. holland's opus (1995),once were warriors (1994),4
mr. holland's opus (1995),"people vs. larry flynt, the (1996)",2
mr. holland's opus (1995),"perfect world, a (1993)",4
mr. holland's opus (1995),philadelphia (1993),24
mr. holland's opus (1995),"philadelphia story, the (1940)",3
mr. holland's opus (1995),pulp fiction (1994),48
mr. holland's opus (1995),quiz show (1994),32
mr. holland's opus (1995),reservoir dogs (1992),9
mr. holland's opus (1995),"rock, the (1996)",21
mr. holland's opus (1995),rudy (1993),12
mr. holland's opus (1995),schindler's list (1993),31
mr. holland's opus (1995),searching for bobby fischer (1993),14
mr. holland's opus (1995),"shawshank redemption, the (1994)",48
mr. holland's opus (1995),"silence of the lambs, the (1991)",26
mr. holland's opus (1995),singin' in the rain (1952),6
mr. holland's opus (1995),some folks call it a sling blade (1993),3
mr. holland's opus (1995),speed (1994),38
mr. holland's opus (1995),"sting, the (1973)",6
mr. holland's opus (1995),terminator 2: judgment day (1991),24
mr. holland's opus (1995),"terminator, the (1984)",7
mr. holland's opus (1995),that thing you do! (1996),9
mr. holland's opus (1995),tombstone (1993),16
mr. holland's opus (1995),trainspotting (1996),13
mr. holland's opus (1995),true romance (1993),11
mr. holland's opus (1995),what's eating gilbert grape (1993),21
mr. holland's opus (1995),"wild bunch, the (1969)",2
once upon a time in the west (c'era una volta il west) (1968),once were warriors (1994),2
once upon a time in the west (c'era una volta il west) (1968),"people vs. larry flynt, the (1996)",2
once upon a time in the west (c'era una volta il west) (1968),"rock, the (1996)",2
once upon a time in the west (c'era una volta il west) (1968),stargate (1994),2
once upon a time in the west (c'era una volta il west) (1968),top gun (1986),3
once upon a time in the west (c'era una volta il west) (1968),twister (1996),3
once were warriors (1994),"people vs. larry flynt, the (1996)",3
once were warriors (1994),"perfect world, a (1993)",3
once were warriors (1994),philadelphia (1993),3
once were warriors (1994),"princess bride, the (1987)",3
once were warriors (1994),raiders of the lost ark (indiana jones and the raiders of the lost ark) (1981),5
once were warriors (1994),reservoir dogs (1992),3
once were warriors (1994),"rock, the (1996)",2
once were warriors (1994),rudy (1993),2
once were warriors (1994),searching for bobby fischer (1993),2
once were warriors (1994),seven (a.k.a. se7en) (1995),7
once were warriors (1994),"silence of the lambs, the (1991)",8
once were warriors (1994),speed (1994),7
once were warriors (1994),star wars: episode iv - a new hope (1977),8
once were warriors (1994),star wars: episode v - the empire strikes back (1980),3
once were warriors (1994),star wars: episode vi - return of the jedi (1983),3
once were warriors (1994),"terminator, the (1984)",3
once were warriors (1994),that thing you do! (1996),2
once were warriors (1994),trainspotting (1996),2
once were warriors (1994),true romance (1993),3
once were warriors (1994),twelve monkeys (a.k.a. 12 monkeys) (1995),6
once were warriors (1994),twister (1996),5
once were warriors (1994),what's eating gilbert grape (1993),2
"people vs. larry flynt, the (1996)","perfect world, a (1993)",2
"people vs. larry flynt, the (1996)",philadelphia (1993),2
"people vs. larry flynt, the (1996)","philadelphia story, the (1940)",2
"people vs. larry flynt, the (1996)","princess bride, the (1987)",6
"people vs. larry flynt, the (1996)",pulp fiction (1994),15
"people vs. larry flynt, the (1996)",quiz show (1994),9
"people vs. larry flynt, the (1996)",raiders of the lost ark (indiana jones and the raiders of the lost ark) (1981),5
"people vs. larry flynt, the (1996)",reservoir dogs (1992),9
"people vs. larry flynt, the (1996)","rock, the (1996)",5
"people vs. larry flynt, the (1996)",schindler's list (1993),10
"people vs. larry flynt, the (1996)",searching for bobby fischer (1993),3
"people vs. larry flynt, the (1996)",seven (a.k.a. se7en) (1995),7
"people vs. larry flynt, the (1996)","shawshank redemption, the (1994)",14
"people vs. larry flynt, the (1996)","silence of the lambs, the (1991)",13
"people vs. larry flynt, the (1996)",singin' in the rain (1952),2
"people vs. larry flynt, the (1996)",speed (1994),7
"people vs. larry flynt, the (1996)",star wars: episode iv - a new hope (1977),11
"people vs. larry flynt, the (1996)",star wars: episode v - the empire strikes back (1980),10
"people vs. larry flynt, the (1996)",star wars: episode vi - return of the jedi (1983),12
"people vs. larry flynt, the (1996)",stargate (1994),2
"people vs. larry flynt, the (1996)","sting, the (1973)",3
"people vs. larry flynt, the (1996)",terminator 2: judgment day (1991),6
"people vs. larry flynt, the (1996)","terminator, the (1984)",5
"people vs. larry flynt, the (1996)",that thing you do! (1996),4
"people vs. larry flynt, the (1996)",tombstone (1993),2
"people vs. larry flynt, the (1996)",top gun (1986),3
"people vs. larry flynt, the (1996)",trainspotting (1996),9
"people vs. larry flynt, the (1996)",true romance (1993),4
"people vs. larry flynt, the (1996)",twelve monkeys (a.k.a. 12 monkeys) (1995),9
"people vs. larry flynt, the (1996)",twister (1996),7
"people vs. larry flynt, the (1996)","usual suspects, the (1995)",9
"people vs. larry flynt, the (1996)",what's eating gilbert grape (1993),7
"people vs. larry flynt, the (1996)","wild bunch, the (1969)",3
"perfect world, a (1993)",philadelphia (1993),4
"perfect world, a (1993)","princess bride, the (1987)",4
"perfect world, a (1993)",pulp fiction (1994),8
"perfect world, a (1993)",quiz show (1994),6
"perfect world, a (1993)",reservoir dogs (1992),2
"perfect world, a (1993)","rock, the (1996)",4
"perfect world, a (1993)",rudy (1993),3
"perfect world, a (1993)",schindler's list (1993),5
"perfect world, a (1993)",searching for bobby fischer (1993),4
"perfect world, a (1993)",seven (a.k.a. se7en) (1995),7
"perfect world, a (1993)","shawshank redemption, the (1994)",6
"perfect world, a (1993)","silence of the lambs, the (1991)",6
"perfect world, a (1993)",singin' in the rain (1952),2
"perfect world, a (1993)",some folks call it a sling blade (1993),2
"perfect world, a (1993)",speed (1994),6
"perfect world, a (1993)",star wars: episode iv - a new hope (1977),7
"perfect world, a (1993)",star wars: episode v - the empire strikes back (1980),3
"perfect world, a (1993)",star wars: episode vi - return of the jedi (1983),2
"perfect world, a (1993)",stargate (1994),5
"perfect world, a (1993)",terminator 2: judgment day (1991),6
"perfect world, a (1993)",that thing you do! (1996),3
"perfect world, a (1993)",tombstone (1993),3
"perfect world, a (1993)",trainspotting (1996),3
"perfect world, a (1993)",true romance (1993),5
"perfect world, a (1993)",twelve monkeys (a.k.a. 12 monkeys) (1995),6
"perfect world, a (1993)",twister (1996),3
"perfect world, a (1993)","usual suspects, the (1995)",9
"perfect world, a (1993)",what's eating gilbert grape (1993),2
"perfect world, a (1993)","wild bunch, the (1969)",2
philadelphia (1993),"philadelphia story, the (1940)",6
philadelphia (1993),"princess bride, the (1987)",13
philadelphia (1993),quiz show (1994),23
philadelphia (1993),"rock, the (1996)",12
philadelphia (1993),searching for bobby fischer (1993),14
philadelphia (1993),singin' in the rain (1952),7
philadelphia (1993),some folks call it a sling blade (1993),4
philadelphia (1993),stargate (1994),21
philadelphia (1993),that thing you do! (1996),4
philadelphia (1993),top gun (1986),9
philadelphia (1993),twister (1996),16
"philadelphia story, the (1940)",quiz show (1994),5
"philadelphia story, the (1940)",reservoir dogs (1992),7
"philadelphia story, the (1940)","rock, the (1996)",4
"philadelphia story, the (1940)",rudy (1993),3
"philadelphia story, the (1940)",schindler's list (1993),11
"philadelphia story, the (1940)",searching for bobby fischer (1993),4
"philadelphia story, the (1940)","shawshank redemption, the (1994)",12
"philadelphia story, the (1940)",some folks call it a sling blade (1993),3
"philadelphia story, the (1940)",speed (1994),5
"philadelphia story, the (1940)",star wars: episode vi - return of the jedi (1983),4
"philadelphia story, the (1940)",stargate (1994),3
"philadelphia story, the (1940)","sting, the (1973)",9
"philadelphia story, the (1940)",terminator 2: judgment day (1991),6
"philadelphia story, the (1940)","terminator, the (1984)",2
"philadelphia story, the (1940)",that thing you do! (1996),3
"philadelphia story, the (1940)",top gun (1986),6
"philadelphia story, the (1940)",trainspotting (1996),4
"philadelphia story, the (1940)",true romance (1993),3
"philadelphia story, the (1940)",twister (1996),4
"philadelphia story, the (1940)","usual suspects, the (1995)",11
"philadelphia story, the (1940)",what's eating gilbert grape (1993),4
"princess bride, the (1987)",quiz show (1994),10
"princess bride, the (1987)",rudy (1993),6
"princess bride, the (1987)",searching for bobby fischer (1993),9
"princess bride, the (1987)",speed (1994),33
"princess bride, the (1987)",trainspotting (1996),26
"princess bride, the (1987)",true romance (1993),14
"princess bride, the (1987)",what's eating gilbert grape (1993),11
pulp fiction (1994),searching for bobby fischer (1993),26
pulp fiction (1994),top gun (1986),26
quiz show (1994),raiders of the lost ark (indiana jones and the raiders of the lost ark) (1981),11
quiz show (1994),"rock, the (1996)",9
quiz show (1994),rudy (1993),4
quiz show (1994),searching for bobby fischer (1993),12
quiz show (1994),singin' in the rain (1952),4
quiz show (1994),some folks call it a sling blade (1993),3
quiz show (1994),speed (1994),43
quiz show (1994),star wars: episode iv - a new hope (1977),28
quiz show (1994),star wars: episode v - the empire strikes back (1980),16
quiz show (1994),star wars: episode vi - return of the jedi (1983),13
quiz show (1994),"sting, the (1973)",5
quiz show (1994),"terminator, the (1984)",5
quiz show (1994),that thing you do! (1996),6
quiz show (1994),tombstone (1993),14
quiz show (1994),top gun (1986),4
quiz show (1994),true romance (1993),15
quiz show (1994),twister (1996),19
quiz show (1994),what's eating gilbert grape (1993),28
quiz show (1994),"wild bunch, the (1969)",4
raiders of the lost ark (indiana jones and the raiders of the lost ark) (1981),rudy (1993),6
raiders of the lost ark (indiana jones and the raiders of the lost ark) (1981),searching for bobby fischer (1993),8
reservoir dogs (1992),rudy (1993),5
reservoir dogs (1992),searching for bobby fischer (1993),8
reservoir dogs (1992),top gun (1986),16
reservoir dogs (1992),"wild bunch, the (1969)",2
"rock, the (1996)",rudy (1993),8
"rock, the (1996)",singin' in the rain (1952),7
"rock, the (1996)",some folks call it a sling blade (1993),2
"rock, the (1996)","sting, the (1973)",6
"rock, the (1996)",trainspotting (1996),23
"rock, the (1996)",true romance (1993),14
"rock, the (1996)",what's eating gilbert grape (1993),15
"rock, the (1996)","wild bunch, the (1969)",2
rudy (1993),searching for bobby fischer (1993),11
rudy (1993),singin' in the rain (1952),5
rudy (1993),some folks call it a sling blade (1993),2
rudy (1993),star wars: episode iv - a new hope (1977),19
rudy (1993),star wars: episode v - the empire strikes back (1980),6
rudy (1993),star wars: episode vi - return of the jedi (1983),6
rudy (1993),stargate (1994),9
rudy (1993),"sting, the (1973)",2
rudy (1993),terminator 2: judgment day (1991),12
rudy (1993),"terminator, the (1984)",2
rudy (1993),that thing you do! (1996),4
rudy (1993),top gun (1986),4
rudy (1993),trainspotting (1996),4
rudy (1993),true romance (1993),5
rudy (1993),twister (1996),8
rudy (1993),"usual suspects, the (1995)",14
rudy (1993),"wild bunch, the (1969)",2
schindler's list (1993),searching for bobby fischer (1993),19
schindler's list (1993),top gun (1986),22
schindler's list (1993),"wild bunch, the (1969)",3
searching for bobby fischer (1993),seven (a.k.a. se7en) (1995),16
searching for bobby fischer (1993),singin' in the rain (1952),4
searching for bobby fischer (1993),some folks call it a sling blade (1993),4
searching for bobby fischer (1993),star wars: episode iv - a new hope (1977),21
searching for bobby fischer (1993),star wars: episode v - the empire strikes back (1980),10
searching for bobby fischer (1993),stargate (1994),12
searching for bobby fischer (1993),"sting, the (1973)",3
searching for bobby fischer (1993),"terminator, the (1984)",5
searching for bobby fischer (1993),that thing you do! (1996),4
searching for bobby fischer (1993),tombstone (1993),8
searching for bobby fischer (1993),trainspotting (1996),8
searching for bobby fischer (1993),true romance (1993),8
searching for bobby fischer (1993),twelve monkeys (a.k.a. 12 monkeys) (1995),18
searching for bobby fischer (1993),"usual suspects, the (1995)",21
searching for bobby fischer (1993),what's eating gilbert grape (1993),15
searching for bobby fischer (1993),"wild bunch, the (1969)",2
seven (a.k.a. se7en) (1995),top gun (1986),23
"shawshank redemption, the (1994)","wild bunch, the (1969)",4
singin' in the rain (1952),some folks call it a sling blade (1993),3
singin' in the rain (1952),speed (1994),11
singin' in the rain (1952),stargate (1994),6
singin' in the rain (1952),that thing you do! (1996),5
singin' in the rain (1952),top gun (1986),7
singin' in the rain (1952),trainspotting (1996),6
singin' in the rain (1952),true romance (1993),6
singin' in the rain (1952),twister (1996),7
singin' in the rain (1952),what's eating gilbert grape (1993),5
some folks call it a sling blade (1993),speed (1994),3
some folks call it a sling blade (1993),stargate (1994),2
some folks call it a sling blade (1993),"sting, the (1973)",3
some folks call it a sling blade (1993),terminator 2: judgment day (1991),5
some folks call it a sling blade (1993),"terminator, the (1984)",2
some folks call it a sling blade (1993),that thing you do! (1996),2
some folks call it a sling blade (1993),tombstone (1993),2
some folks call it a sling blade (1993),top gun (1986),2
some folks call it a sling blade (1993),trainspotting (1996),2
some folks call it a sling blade (1993),true romance (1993),2
some folks call it a sling blade (1993),twelve monkeys (a.k.a. 12 monkeys) (1995),2
some folks call it a sling blade (1993),twister (1996),2
some folks call it a sling blade (1993),what's eating gilbert grape (1993),3
speed (1994),that thing you do! (1996),7
speed (1994),"wild bunch, the (1969)",3
stargate (1994),"sting, the (1973)",7
stargate (1994),trainspotting (1996),20
stargate (1994),true romance (1993),24
stargate (1994),what's eating gilbert grape (1993),32
stargate (1994),"wild bunch, the (1969)",2
"sting, the (1973)",tombstone (1993),3
"sting, the (1973)",top gun (1986),8
"sting, the (1973)",twister (1996),5
"sting, the (1973)","wild bunch, the (1969)",2
terminator 2: judgment day (1991),that thing you do! (1996),7
terminator 2: judgment day (1991),tombstone (1993),29
terminator 2: judgment day (1991),"wild bunch, the (1969)",2
that thing you do! (1996),top gun (1986),4
that thing you do! (1996),trainspotting (1996),9
that thing you do! (1996),true romance (1993),5
that thing you do! (1996),twelve monkeys (a.k.a. 12 monkeys) (1995),10
that thing you do! (1996),what's eating gilbert grape (1993),4
tombstone (1993),top gun (1986),9
tombstone (1993),trainspotting (1996),9
tombstone (1993),true romance (1993),10
top gun (1986),trainspotting (1996),11
top gun (1986),true romance (1993),4
top gun (1986),twelve monkeys (a.k.a. 12 monkeys) (1995),18
top gun (1986),what's eating gilbert grape (1993),9
trainspotting (1996),twister (1996),16
true romance (1993),twister (1996),15
true romance (1993),"wild bunch, the (1969)",3
twelve monkeys (a.k.a. 12 monkeys) (1995),twister (1996),51
twister (1996),what's eating gilbert grape (1993),18
twister (1996),"wild bunch, the (1969)",3
"usual suspects, the (1995)","wild bunch, the (1969)",4
what's eating gilbert grape (1993),"wild bunch, the (1969)",2
2001: a space odyssey (1968),28 days later (2002),4
2001: a space odyssey (1968),all the president's men (1976),4
2001: a space odyssey (1968),american graffiti (1973),4
2001: a space odyssey (1968),"best years of our lives, the (1946)",2
2001: a space odyssey (1968),black hawk down (2001),2
2001: a space odyssey (1968),children of men (2006),4
2001: a space odyssey (1968),"departed, the (2006)",5
2001: a space odyssey (1968),"dirty dozen, the (1967)",4
2001: a space odyssey (1968),"fog of war: eleven lessons from the life of robert s. mcnamara, the (2003)",2
2001: a space odyssey (1968),glory (1989),4
2001: a space odyssey (1968),hackers (1995),4
2001: a space odyssey (1968),henry v (1989),4
2001: a space odyssey (1968),it's a wonderful life (1946),15
2001: a space odyssey (1968),"karate kid, the (1984)",3
2001: a space odyssey (1968),"last of the mohicans, the (1992)",4
2001: a space odyssey (1968),lawrence of arabia (1962),12
2001: a space odyssey (1968),"man who would be king, the (1975)",3
2001: a space odyssey (1968),my fair lady (1964),7
2001: a space odyssey (1968),no country for old men (2007),2
2001: a space odyssey (1968),on the waterfront (1954),4
2001: a space odyssey (1968),patton (1970),10
2001: a space odyssey (1968),"pianist, the (2002)",3
2001: a space odyssey (1968),saving private ryan (1998),20
2001: a space odyssey (1968),u.s. marshals (1998),2
2001: a space odyssey (1968),under siege (1992),3
2001: a space odyssey (1968),zodiac (2007),3
28 days later (2002),all the president's men (1976),2
28 days later (2002),american graffiti (1973),3
28 days later (2002),apocalypse now (1979),3
28 days later (2002),apollo 13 (1995),3
28 days later (2002),black hawk down (2001),3
28 days later (2002),"bridge on the river kwai, the (1957)",2
28 days later (2002),dr. strangelove or: how i learned to stop worrying and love the bomb (1964),2
28 days later (2002),enemy at the gates (2001),2
28 days later (2002),excalibur (1981),2
28 days later (2002),full metal jacket (1987),3
28 days later (2002),"good, the bad and the ugly, the (buono, il brutto, il cattivo, il) (1966)",2
28 days later (2002),goodfellas (1990),4
28 days later (2002),"great escape, the (1963)",2
28 days later (2002),hackers (1995),2
28 days later (2002),lawrence of arabia (1962),2
28 days later (2002),"pianist, the (2002)",4
28 days later (2002),"town, the (2010)",2
28 days later (2002),under siege (1992),3
28 days later (2002),"usual suspects, the (1995)",6
all the president's men (1976),american graffiti (1973),3
all the president's men (1976),apocalypse now (1979),3
all the president's men (1976),apollo 13 (1995),4
all the president's men (1976),back to the future (1985),2
all the president's men (1976),"dirty dozen, the (1967)",2
all the president's men (1976),dr. strangelove or: how i learned to stop worrying and love the bomb (1964),4
all the president's men (1976),forrest gump (1994),2
all the president's men (1976),gladiator (2000),2
all the president's men (1976),glory (1989),2
all the president's men (1976),"godfather, the (1972)",4
all the president's men (1976),goodfellas (1990),2
all the president's men (1976),"great escape, the (1963)",3
all the president's men (1976),independence day (a.k.a. id4) (1996),4
all the president's men (1976),it's a wonderful life (1946),2
all the president's men (1976),l.a. confidential (1997),2
all the president's men (1976),monty python and the holy grail (1975),2
all the president's men (1976),on the waterfront (1954),2
all the president's men (1976),"pianist, the (2002)",2
all the president's men (1976),pulp fiction (1994),4
all the president's men (1976),raiders of the lost ark (indiana jones and the raiders of the lost ark) (1981),3
all the president's men (1976),rear window (1954),2
all the president's men (1976),"shawshank redemption, the (1994)",3
all the president's men (1976),stargate (1994),2
all the president's men (1976),"usual suspects, the (1995)",4
american graffiti (1973),apocalypse now (1979),4
american graffiti (1973),apollo 13 (1995),3
american graffiti (1973),back to the future (1985),2
american graffiti (1973),battlestar galactica (2003),2
american graffiti (1973),children of men (2006),2
american graffiti (1973),"departed, the (2006)",2
american graffiti (1973),"dirty dozen, the (1967)",2
american graffiti (1973),dr. strangelove or: how i learned to stop worrying and love the bomb (1964),3
american graffiti (1973),excalibur (1981),2
american graffiti (1973),"fog of war: eleven lessons from the life of robert s. mcnamara, the (2003)",2
american graffiti (1973),for a few dollars more (per qualche dollaro in più) (1965),2
american graffiti (1973),forrest gump (1994),5
american graffiti (1973),full metal jacket (1987),3
american graffiti (1973),gladiator (2000),2
american graffiti (1973),"godfather, the (1972)",5
american graffiti (1973),"good, the bad and the ugly, the (buono, il brutto, il cattivo, il) (1966)",2
american graffiti (1973),goodfellas (1990),3
american graffiti (1973),"great escape, the (1963)",4
american graffiti (1973),independence day (a.k.a. id4) (1996),2
american graffiti (1973),it's a wonderful life (1946),2
american graffiti (1973),l.a. confidential (1997),6
american graffiti (1973),monty python and the holy grail (1975),2
american graffiti (1973),moon (2009),2
american graffiti (1973),no country for old men (2007),2
american graffiti (1973),on the waterfront (1954),2
american graffiti (1973),once upon a time in the west (c'era una volta il west) (1968),2
american graffiti (1973),patton (1970),2
american graffiti (1973),"pianist, the (2002)",2
american graffiti (1973),pulp fiction (1994),6
american graffiti (1973),rear window (1954),4
american graffiti (1973),road to perdition (2002),2
american graffiti (1973),saving private ryan (1998),4
american graffiti (1973),"shawshank redemption, the (1994)",4
american graffiti (1973),"usual suspects, the (1995)",5
apocalypse now (1979),black hawk down (2001),4
apocalypse now (1979),blues brothers 2000 (1998),2
apocalypse now (1979),"bridge on the river kwai, the (1957)",7
apocalypse now (1979),children of men (2006),3
apocalypse now (1979),days of thunder (1990),2
apocalypse now (1979),"departed, the (2006)",3
apocalypse now (1979),"dirty dozen, the (1967)",3
apocalypse now (1979),district 9 (2009),2
apocalypse now (1979),"fog of war: eleven lessons from the life of robert s. mcnamara, the (2003)",4
apocalypse now (1979),glory (1989),4
apocalypse now (1979),"great escape, the (1963)",11
apocalypse now (1979),hackers (1995),3
apocalypse now (1979),i am legend (2007),2
apocalypse now (1979),it's a wonderful life (1946),13
apocalypse now (1979),"karate kid, the (1984)",3
apocalypse now (1979),lawrence of arabia (1962),11
apocalypse now (1979),"man who would be king, the (1975)",3
apocalypse now (1979),moon (2009),2
apocalypse now (1979),my fair lady (1964),6
apocalypse now (1979),no country for old men (2007),7
apocalypse now (1979),on the waterfront (1954),5
apocalypse now (1979),patton (1970),6
apocalypse now (1979),"pianist, the (2002)",5
apocalypse now (1979),saving private ryan (1998),26
apocalypse now (1979),under siege (1992),2
apocalypse now (1979),zodiac (2007),2
apollo 13 (1995),bill & ted's bogus journey (1991),2
apollo 13 (1995),black hawk down (2001),3
apollo 13 (1995),blues brothers 2000 (1998),2
apollo 13 (1995),"bridge on the river kwai, the (1957)",6
apollo 13 (1995),children of men (2006),6
apollo 13 (1995),"dirty dozen, the (1967)",2
apollo 13 (1995),district 9 (2009),4
apollo 13 (1995),django unchained (2012),3
apollo 13 (1995),edge of tomorrow (2014),2
apollo 13 (1995),excalibur (1981),2
apollo 13 (1995),"fog of war: eleven lessons from the life of robert s. mcnamara, the (2003)",3
apollo 13 (1995),frost/nixon (2008),2
apollo 13 (1995),glory (1989),3
apollo 13 (1995),"great escape, the (1963)",10
apollo 13 (1995),henry v (1989),2
apollo 13 (1995),i am legend (2007),2
apollo 13 (1995),it's a wonderful life (1946),21
apollo 13 (1995),"karate kid, the (1984)",4
apollo 13 (1995),"king's speech, the (2010)",3
apollo 13 (1995),lawrence of arabia (1962),9
apollo 13 (1995),"man who would be king, the (1975)",3
